id;organization_code;organization_name;tenant_id
1;Intelligent Cotton Gloves frame deposit;infrastructure microchip;1
2;payment Ergonomic;red Credit Card Account Ergonomic;2
3;withdrawal;Belarussian Ruble circuit Borders;3
4;e-business;Summit Quality-focused;4
5;bus Open-source;violet multimedia granular;5
6;paradigms;Customer ADP;6
7;Avon;Sharable;7
8;Creative;overriding cross-platform;8
9;generate Money Market Account CFP Franc;Mountains virtual;9
10;Falls Self-enabling;Bike Parkway Croatia;10
